function,dimension,noise_sigma,method,n_pairs,vanilla_median,method_median,median_delta_vs_vanilla,win_rate_vs_vanilla,loss_rate_vs_vanilla,wilcoxon_p_two_sided,ratio_median_vs_vanilla_non_primary,bh_fdr_q_value
ellipsoid_cond1e6,20,0.0,phasewall_plus_lr_tuned,10,905846.7914329738,500332.7903391676,-369475.4263929551,0.8,0.2,0.02734375,0.5523371005682793,0.10096153846153846
ellipsoid_cond1e6,20,0.0,phasewall_tuned,10,905846.7914329738,734537.1508967417,-267749.99832321063,0.7,0.3,0.375,0.8108845312955907,0.6428571428571428
ellipsoid_cond1e6,20,0.0,pop4x,10,905846.7914329738,1132227.2495769933,341045.45539545716,0.4,0.6,0.16015625,1.2499103162753433,0.3908898305084746
ellipsoid_cond1e6,20,0.1,lr_adapt_proxy,10,905846.7470989116,522281.58999301144,-311707.64615784417,0.7,0.3,0.130859375,0.5765672743934712,0.3364955357142857
ellipsoid_cond1e6,20,0.1,phasewall_plus_lr_tuned,10,905846.7470989116,500332.80794819247,-369475.5123920848,0.8,0.2,0.02734375,0.5523371470401273,0.10096153846153846
ellipsoid_cond1e6,20,0.1,phasewall_tuned,10,905846.7470989116,734537.1160129182,-267750.10281828395,0.7,0.3,0.375,0.8108845324723701,0.6428571428571428
ellipsoid_cond1e6,20,0.1,pop4x,10,905846.7470989116,1132227.1098628528,341045.41425580456,0.4,0.6,0.16015625,1.2499102232126493,0.3908898305084746
ellipsoid_cond1e6,20,0.2,lr_adapt_proxy,10,905846.8210223536,522281.5130920826,-311707.44838840794,0.7,0.3,0.130859375,0.5765671424475797,0.3364955357142857
ellipsoid_cond1e6,20,0.2,phasewall_plus_lr_tuned,10,905846.8210223536,500332.89900087373,-369475.37975462736,0.8,0.2,0.02734375,0.5523372024821921,0.10096153846153846
ellipsoid_cond1e6,20,0.2,phasewall_tuned,10,905846.8210223536,734537.2589751971,-267749.94761954335,0.7,0.3,0.375,0.8108846241202087,0.6428571428571428
ellipsoid_cond1e6,20,0.2,pop4x,10,905846.8210223536,1132227.391085676,341045.43537411833,0.4,0.6,0.16015625,1.2499104316641807,0.3908898305084746
ellipsoid_cond1e6,40,0.0,lr_adapt_proxy,10,3186792.200018701,2894830.2927994784,-353084.4993525364,0.7,0.3,0.625,0.9083837637052364,0.7692307692307693
ellipsoid_cond1e6,40,0.0,phasewall_plus_lr_tuned,10,3186792.200018701,2748200.655548837,-324192.3158799999,0.5,0.5,0.232421875,0.8623720917644739,0.4921875
ellipsoid_cond1e6,40,0.0,phasewall_tuned,10,3186792.200018701,3230729.6451984146,159832.99869849673,0.5,0.5,0.556640625,1.0137873580773342,0.7692307692307693
ellipsoid_cond1e6,40,0.0,pop4x,10,3186792.200018701,4689459.60324345,1932414.826032714,0.1,0.9,0.005859375,1.4715297731731396,0.03375
ellipsoid_cond1e6,40,0.1,lr_adapt_proxy,10,3186792.2923565214,2894830.3379945327,-353084.37405298697,0.7,0.3,0.625,0.9083837515666598,0.7692307692307693
ellipsoid_cond1e6,40,0.1,phasewall_plus_lr_tuned,10,3186792.2923565214,2748200.660143322,-324192.31025931635,0.5,0.5,0.232421875,0.8623720682188307,0.4921875
ellipsoid_cond1e6,40,0.1,phasewall_tuned,10,3186792.2923565214,3230729.666140451,159833.14646918804,0.5,0.5,0.556640625,1.0137873352741917,0.7692307692307693
ellipsoid_cond1e6,40,0.1,pop4x,10,3186792.2923565214,4689459.644793235,1932414.825355784,0.1,0.9,0.005859375,1.4715297435734487,0.03375
ellipsoid_cond1e6,40,0.2,lr_adapt_proxy,10,3186792.0626770407,2894830.082983206,-353084.5744650597,0.7,0.3,0.625,0.9083837370146535,0.7692307692307693
ellipsoid_cond1e6,40,0.2,phasewall_plus_lr_tuned,10,3186792.0626770407,2748200.5959321535,-324192.06443185126,0.5,0.5,0.232421875,0.8623721102228264,0.4921875
ellipsoid_cond1e6,40,0.2,phasewall_tuned,10,3186792.0626770407,3230729.7917373697,159833.01068545785,0.5,0.5,0.556640625,1.0137874477519,0.7692307692307693
ellipsoid_cond1e6,40,0.2,pop4x,10,3186792.0626770407,4689459.595071107,1932414.884621587,0.1,0.9,0.005859375,1.4715298340274394,0.03375
rastrigin,10,0.0,lr_adapt_proxy,10,66.71520502291919,66.3970360376876,-4.0331423371132615,0.6,0.4,0.232421875,0.9952309374583757,0.4921875
rastrigin,10,0.0,phasewall_plus_lr_tuned,10,66.71520502291919,64.00870925874989,-10.491609819012268,0.6,0.4,0.275390625,0.9594321000251813,0.5585387323943661
rastrigin,10,0.0,phasewall_tuned,10,66.71520502291919,71.33457734407185,-1.432986064341435,0.6,0.4,1.0,1.0692401727547074,1.0
rastrigin,10,0.0,pop4x,10,66.71520502291919,90.35867283321984,22.16598802654797,0.0,1.0,0.001953125,1.3543939916272194,0.016544117647058824
rastrigin,10,0.1,lr_adapt_proxy,10,66.8446748598758,67.25866164807604,-3.8602471447122824,0.6,0.4,0.375,1.006193265044195,0.6428571428571428
rastrigin,10,0.1,phasewall_plus_lr_tuned,10,66.8446748598758,64.07251358809225,-1.498365798559302,0.5,0.5,0.556640625,0.9585283154178739,0.7692307692307693
rastrigin,10,0.1,phasewall_tuned,10,66.8446748598758,74.78266286374597,1.058381514978329,0.4,0.6,0.845703125,1.118752735659352,0.9020833333333333
rastrigin,10,0.1,pop4x,10,66.8446748598758,94.6374874539188,21.042687492946854,0.1,0.9,0.005859375,1.4157819998721533,0.03375
rastrigin,10,0.2,lr_adapt_proxy,10,70.4274288108089,73.25070119754004,1.2868989204407626,0.3,0.7,0.431640625,1.0400876822340819,0.6612367021276596
rastrigin,10,0.2,phasewall_plus_lr_tuned,10,70.4274288108089,73.41083287846365,2.983404067654753,0.2,0.8,0.431640625,1.042361394104975,0.6612367021276596
rastrigin,10,0.2,phasewall_tuned,10,70.4274288108089,70.89690144821157,0.23384022732838616,0.5,0.5,1.0,1.0066660482333356,1.0
rastrigin,10,0.2,pop4x,10,70.4274288108089,94.91595394549165,22.198014949262884,0.0,1.0,0.001953125,1.3477128946516979,0.016544117647058824
rastrigin,20,0.0,lr_adapt_proxy,10,195.5851391667338,203.44853727568068,6.452842219729433,0.4,0.6,1.0,1.0402044763853118,1.0
rastrigin,20,0.0,phasewall_plus_lr_tuned,10,195.5851391667338,199.7793095460416,2.3907244073197518,0.5,0.5,1.0,1.0214442180892502,1.0
rastrigin,20,0.0,phasewall_tuned,10,195.5851391667338,220.2498993101433,18.07865949364421,0.3,0.7,0.130859375,1.1261075368429863,0.3364955357142857
rastrigin,20,0.0,pop4x,10,195.5851391667338,226.9204559430334,34.24708438007541,0.2,0.8,0.009765625,1.1602131783109895,0.046875
rastrigin,20,0.1,lr_adapt_proxy,10,193.45495305458306,203.71154936689425,13.777806075521156,0.3,0.7,0.4921875,1.0530180083288811,0.7232142857142857
rastrigin,20,0.1,phasewall_plus_lr_tuned,10,193.45495305458306,194.02325018164382,-4.703822734899461,0.6,0.4,0.921875,1.0029376199372906,0.9761029411764706
rastrigin,20,0.1,phasewall_tuned,10,193.45495305458306,220.23660608796587,26.238952300205412,0.3,0.7,0.083984375,1.1384387042591069,0.2629076086956522
rastrigin,20,0.1,pop4x,10,193.45495305458306,226.55204874238504,28.14487581569641,0.1,0.9,0.00390625,1.171084250701318,0.026785714285714284
rastrigin,20,0.2,lr_adapt_proxy,10,202.66594985249628,186.64127434846276,-12.764769584873108,0.8,0.2,0.10546875,0.9209305977856835,0.2977941176470588
rastrigin,20,0.2,phasewall_plus_lr_tuned,10,202.66594985249628,194.88635246534244,-3.066772020798581,0.6,0.4,0.431640625,0.9616136929128156,0.6612367021276596
rastrigin,20,0.2,phasewall_tuned,10,202.66594985249628,203.3642417207214,-10.380562533524781,0.6,0.4,0.375,1.003445531273178,0.6428571428571428
rastrigin,20,0.2,pop4x,10,202.66594985249628,238.68521664580203,31.915396951861766,0.1,0.9,0.00390625,1.1777272739674385,0.026785714285714284
rastrigin,40,0.0,lr_adapt_proxy,10,524.4719941501835,528.9833287327475,3.449322313360369,0.5,0.5,0.845703125,1.0086016691699122,0.9020833333333333
rastrigin,40,0.0,phasewall_plus_lr_tuned,10,524.4719941501835,555.7679789260056,50.69217867865069,0.2,0.8,0.037109375,1.0596714126300144,0.13359374999999998
rastrigin,40,0.0,phasewall_tuned,10,524.4719941501835,529.0424697580272,-2.6779121917622035,0.5,0.5,0.625,1.0087144321504704,0.7692307692307693
rastrigin,40,0.0,pop4x,10,524.4719941501835,570.2464451173585,66.54715840541814,0.4,0.6,0.083984375,1.087277207320373,0.2629076086956522
rastrigin,40,0.1,lr_adapt_proxy,10,524.5368937897513,526.2904875648413,4.964602865582009,0.5,0.5,0.76953125,1.0033431276157154,0.86572265625
rastrigin,40,0.1,phasewall_plus_lr_tuned,10,524.5368937897513,541.6042845394081,52.59311859589698,0.3,0.7,0.193359375,1.0325380177290215,0.43505859375
rastrigin,40,0.1,phasewall_tuned,10,524.5368937897513,553.3220706659189,37.725971459035634,0.5,0.5,0.322265625,1.05487731600383,0.6187499999999999
rastrigin,40,0.1,pop4x,10,524.5368937897513,567.3208268655026,32.18865347045573,0.4,0.6,0.130859375,1.0815651550582832,0.3364955357142857
rastrigin,40,0.2,lr_adapt_proxy,10,553.2788226490906,520.954435842129,-12.791957041850338,0.8,0.2,0.064453125,0.9415766780080378,0.2263719512195122
rastrigin,40,0.2,phasewall_plus_lr_tuned,10,553.2788226490906,534.4631744551642,-11.444376995982225,0.7,0.3,1.0,0.965992466323151,1.0
rastrigin,40,0.2,phasewall_tuned,10,553.2788226490906,528.9813257464302,-22.169823034620237,0.6,0.4,0.76953125,0.9560845347625555,0.86572265625
rastrigin,40,0.2,pop4x,10,553.2788226490906,558.2969017836758,35.95151978717348,0.4,0.6,0.10546875,1.009069711200148,0.2977941176470588
rosenbrock,10,0.0,lr_adapt_proxy,10,444.9568665929986,369.02519382121966,-75.93167277177895,0.6,0.4,0.322265625,0.8293504865916957,0.6187499999999999
rosenbrock,10,0.0,phasewall_plus_lr_tuned,10,444.9568665929986,405.21171183321223,-18.151507677845046,0.6,0.4,0.375,0.9106763874347821,0.6428571428571428
rosenbrock,10,0.0,phasewall_tuned,10,444.9568665929986,490.76002580611,-11.441029570991446,0.5,0.5,0.625,1.1029384253890107,0.7692307692307693
rosenbrock,10,0.0,pop4x,10,444.9568665929986,3255.2622564189787,2719.7885077312585,0.0,1.0,0.001953125,7.315905205248945,0.016544117647058824
rosenbrock,10,0.1,lr_adapt_proxy,10,444.93985457802466,369.04061999150633,-75.8992345865183,0.6,0.4,0.322265625,0.8294168665594135,0.6187499999999999
rosenbrock,10,0.1,phasewall_plus_lr_tuned,10,444.93985457802466,405.31906964721736,-18.155656790724038,0.6,0.4,0.375,0.9109524927399836,0.6428571428571428
rosenbrock,10,0.1,phasewall_tuned,10,444.93985457802466,490.82901759328456,-11.443907096625594,0.5,0.5,0.625,1.103135654275746,0.7692307692307693
rosenbrock,10,0.1,pop4x,10,444.93985457802466,3255.326932884453,2719.915738630477,0.0,1.0,0.001953125,7.316330284621871,0.016544117647058824
rosenbrock,10,0.2,lr_adapt_proxy,10,444.86520221631076,368.9195534686139,-75.94564874769688,0.6,0.4,0.322265625,0.8292839080932001,0.6187499999999999
rosenbrock,10,0.2,phasewall_plus_lr_tuned,10,444.86520221631076,362.886372811578,-73.75535817531525,0.6,0.4,0.193359375,0.8157220906550666,0.43505859375
rosenbrock,10,0.2,phasewall_tuned,10,444.86520221631076,490.74416645336225,-11.434144947042768,0.5,0.5,0.625,1.103130035814182,0.7692307692307693
rosenbrock,10,0.2,pop4x,10,444.86520221631076,3255.1500062597206,2719.604774912106,0.0,1.0,0.001953125,7.317160321919133,0.016544117647058824
